model,RMSE,MAE,R2
ols,0.10866466798136085,0.08959681121255768,0.9197529446547471
rf,0.11814050077749941,0.09765015350877196,0.9051472328593114
gbr,0.12184466019496668,0.1008348018372016,0.8991059878645892
