year,forecast
2025,1.1291449999999994
2026,1.0499431249999998
2027,1.0567168749999993
2028,1.0930187499999993
2029,1.1032793749999994
2030,1.1032793749999994
2031,1.1032793749999994
2032,1.1032793749999994
2033,1.1032793749999994
2034,1.1032793749999994
