index,lower,median,upper
0,-0.4373976249999997,-0.40109274999999933,-0.31374994999999983
1,-0.5328115875000003,-0.45949100000000015,-0.3064803
2,-0.47608819999999985,-0.3674532500000003,-0.32863256249999995
3,-0.46437159999999933,-0.4175299999999994,-0.27271735000000014
4,-0.4480335124999999,-0.36629925000000013,-0.33138711249999975
5,-0.4175358874999997,-0.34071999999999997,-0.27762524999999993
6,-0.4109905875,-0.3568767499999998,-0.31892477499999994
7,-0.3741423874999999,-0.3467490000000002,-0.29247329999999994
8,-0.3781631749999999,-0.3273917500000001,-0.3083875124999999
9,-0.35343470000000016,-0.3294814999999998,-0.2850272375000002
10,-0.36776985000000045,-0.35449900000000034,-0.31555325000000006
11,-0.3815258249999997,-0.33894999999999964,-0.3267978499999995
12,-0.3575217625,-0.3406475000000001,-0.30686050000000004
13,-0.37811960000000017,-0.3621990000000002,-0.30882433749999993
14,-0.3876704749999997,-0.36559049999999976,-0.2905323375
15,-0.4210663500000002,-0.38163025,-0.24880041249999985
16,-0.402497175,-0.22028724999999988,-0.11249863750000012
17,-0.3030819874999999,-0.11320200000000015,-0.026132112500000006
18,-0.3220762999999998,-0.2745709999999996,-0.1386216000000001
19,-0.35867672499999975,-0.2805352500000001,-0.24602647500000022
20,-0.3440172374999999,-0.21305200000000005,-0.1616205874999997
21,-0.29025954999999987,-0.2076075000000002,-0.15383317500000004
22,-0.3178190625,-0.2666822499999998,-0.21549320000000005
23,-0.3830935374999998,-0.34977899999999984,-0.24704003750000006
24,-0.4079929125,-0.38024424999999984,-0.2749965499999999
25,-0.4078455875000001,-0.36888374999999973,-0.3086862124999997
26,-0.4303163374999993,-0.39719924999999956,-0.3044549625
27,-0.42186252499999966,-0.30450849999999974,-0.2676676499999998
28,-0.3591765874999997,-0.21357675000000004,-0.18134815000000015
29,-0.4286178124999999,-0.3731312499999995,-0.2418818374999999
30,-0.4471614999999999,-0.34295399999999976,-0.31012336249999983
31,-0.3933964624999994,-0.3596674999999996,-0.2620406249999999
32,-0.4127363249999998,-0.39128375000000004,-0.3210052624999999
33,-0.3986981375000003,-0.3790722500000004,-0.28311228750000006
34,-0.4339208499999999,-0.3469887500000003,-0.29395390000000027
35,-0.3792763374999999,-0.25767050000000036,-0.20368525000000037
36,-0.35935660000000014,-0.23814525,-0.19158232499999953
37,-0.3837830624999991,-0.35782774999999944,-0.25974435
38,-0.4578794499999998,-0.32160025,-0.2726869375000002
39,-0.3256280750000001,-0.21121899999999988,-0.16283928750000018
40,-0.32383979999999996,-0.23328625000000006,-0.19127596249999995
41,-0.35889321250000034,-0.3259700000000002,-0.2409983000000001
42,-0.454054312499999,-0.4063662499999995,-0.3020736625
43,-0.5333558125000009,-0.4586765000000005,-0.29149277499999976
44,-0.45483837500000013,-0.36913224999999994,-0.31367364999999986
45,-0.4137200499999997,-0.3021157499999998,-0.27269386249999966
46,-0.4400483125000002,-0.3672877499999998,-0.21360963750000003
47,-0.4718999999999998,-0.44180849999999994,-0.3181854124999999
48,-0.5080401375000005,-0.46169450000000023,-0.33402386250000005
49,-0.48447822499999943,-0.4437177499999998,-0.34831475000000006
50,-0.491946324999999,-0.4539702499999995,-0.35840125000000017
51,-0.4460587499999995,-0.41359000000000057,-0.37280050000000026
52,-0.4413030249999998,-0.3815614999999999,-0.27369795000000013
53,-0.4336731624999999,-0.2836042500000002,-0.21497428750000014
54,-0.3612414124999999,-0.23200774999999996,-0.17023797500000035
55,-0.38839816250000025,-0.35392350000000006,-0.2578461374999998
56,-0.5003161124999989,-0.43662574999999937,-0.28662907500000007
57,-0.4528219749999997,-0.37383225000000003,-0.3219660624999999
58,-0.3894931624999999,-0.31867999999999996,-0.28188664999999996
59,-0.34165437499999984,-0.2898572499999998,-0.24907913750000008
60,-0.3344293749999999,-0.24602599999999974,-0.2189408874999998
61,-0.3439566999999999,-0.3037324999999995,-0.23285594999999995
62,-0.3688785249999997,-0.29884175000000024,-0.27923817500000003
63,-0.31917525,-0.28454674999999996,-0.2512632124999999
64,-0.3106200499999999,-0.2557222500000002,-0.21776462499999985
65,-0.31197899999999995,-0.1811897499999999,-0.12125041249999982
66,-0.2995701750000001,-0.21450299999999967,-0.10329661250000008
67,-0.31766178749999996,-0.22916949999999997,-0.1908564125000002
68,-0.3747519749999999,-0.30526850000000016,-0.16520657499999994
69,-0.39013819999999994,-0.23297874999999985,-0.17003372499999977
70,-0.24542553749999999,-0.14297375000000018,-0.10142745000000022
71,-0.22712603749999996,-0.1493467499999998,-0.0871421500000001
72,-0.2993094624999997,-0.23638424999999974,-0.08934941250000002
